company,role,date,status,notes
Google,Data Analyst,2025-05-01,Rejected,Linkedin
Amazon,BI Analyst,2025-04-28,Interview,Referral
Meta,Data Analyst,2026-05-03,Applied,Handshake
Walmart,Data Analyst,2025-05-03,Interview,Glassdoor
CVS,DA,2026-01-26,Rejected,No notes availabele
Microsoft,Business analyst,2026-02-06,Applied,No notes availabele
Apple,Business analyst,2026-01-01,Rejected,Linkedin connection sent
Reliance,Data reporting analyst,2025-12-12,Offer,LinkedIN
Netflix,Data analyst,2026-05-09,Applied,Referral
Aws,Data analyst,2026-04-29,Interview,No notes availabele
Honeywell,Bi analyst,2026-05-10,Interview,Linkedin
Aws,Da,2025-07-11,Interview,No notes available
